alpha;gamma;epsilon;no_success;success;steps;deadline_start;deadline_end;percentage
0.05;0.05;0.05;75.8;24.2;30.0;29.68;3.39;11.436667587
0.05;0.05;0.3;52.8;47.2;30.0;30.02;6.33;21.1041028741
0.05;0.05;0.6;21.2;78.8;17.4;30.09;11.934;39.6649102785
0.05;0.05;0.9;2.4;97.6;15.4;29.92;16.61;55.5404083233
0.05;0.05;1.0;0.2;99.8;11.4;29.9;17.616;58.9263059189
0.05;0.05;9.0;30.2;69.8;20.0;29.99;9.852;32.7941052728
0.05;0.05;99.0;29.6;70.4;17.8;29.88;9.444;31.6084172474
0.05;0.3;0.05;77.6;22.4;19.4;29.87;3.1;10.3622123741
0.05;0.3;0.3;50.6;49.4;27.2;29.84;6.464;21.6565383363
0.05;0.3;0.6;21.2;78.8;18.0;30.44;11.894;39.0773613259
0.05;0.3;0.9;3.8;96.2;11.6;29.62;16.676;56.3068057894
0.05;0.3;1.0;0.8;99.2;13.6;29.68;16.73;56.368024369
0.05;0.3;9.0;29.0;71.0;24.0;29.28;9.33;31.8681782483
0.05;0.3;99.0;31.0;69.0;16.6;29.9;9.582;32.0122984791
0.05;0.6;0.05;74.2;25.8;25.4;30.52;3.55;11.6238097594
0.05;0.6;0.3;55.2;44.8;22.6;30.05;6.176;20.5306533421
0.05;0.6;0.6;31.8;68.2;19.8;29.77;9.284;31.1614425459
0.05;0.6;0.9;5.0;95.0;14.6;30.32;15.962;52.6390979713
0.05;0.6;1.0;0.8;99.2;11.6;29.7;17.276;58.2322343478
0.05;0.6;9.0;42.6;57.4;22.6;29.77;8.448;28.4010976586
0.05;0.6;99.0;36.0;64.0;21.0;29.35;8.954;30.5168877905
0.05;0.9;0.05;79.4;20.6;27.0;29.2;2.748;9.40287517785
0.05;0.9;0.3;59.2;40.8;33.4;30.02;5.672;18.9152748914
0.05;0.9;0.6;34.6;65.4;8.0;29.85;9.638;32.1301571327
0.05;0.9;0.9;4.2;95.8;13.0;30.11;16.008;53.1330968763
0.05;0.9;1.0;0.6;99.4;14.2;29.31;16.61;56.6606475133
0.05;0.9;9.0;37.6;62.4;12.6;29.94;9.132;30.5050277584
0.05;0.9;99.0;43.6;56.4;22.8;30.51;7.954;26.0136268258
0.05;1.0;0.05;76.6;23.4;30.0;29.99;3.488;11.6442931629
0.05;1.0;0.3;61.0;39.0;23.8;29.74;5.66;19.0400043498
0.05;1.0;0.6;21.0;79.0;16.6;29.11;10.832;37.2297151929
0.05;1.0;0.9;2.4;97.6;10.2;29.75;15.754;53.0030638017
0.05;1.0;1.0;0.6;99.4;11.8;29.6;16.888;57.0337427785
0.05;1.0;9.0;38.8;61.2;17.2;28.94;8.484;29.3315568798
0.05;1.0;99.0;40.4;59.6;15.6;30.02;8.34;27.6401314733
0.05;9.0;0.05;75.0;25.0;28.0;29.64;4.022;13.5723683217
0.05;9.0;0.3;55.6;44.4;22.6;30.2;6.436;21.2831904768
0.05;9.0;0.6;39.8;60.2;18.4;29.75;8.282;27.8230131202
0.05;9.0;0.9;9.2;90.8;10.2;29.12;14.782;50.766212153
0.05;9.0;1.0;0.8;99.2;15.6;29.63;16.3;55.0296269218
0.05;9.0;9.0;36.2;63.8;16.4;29.27;8.844;30.1867537129
0.05;9.0;99.0;39.0;61.0;31.4;29.94;9.392;31.3623155802
0.05;99.0;0.05;77.0;23.0;26.8;29.49;3.186;10.8603834472
0.05;99.0;0.3;56.0;44.0;19.8;30.43;6.25;20.5675620565
0.05;99.0;0.6;23.2;76.8;20.2;29.89;11.16;37.3453584185
0.05;99.0;0.9;5.6;94.4;14.2;29.92;16.338;54.6025334704
0.05;99.0;1.0;1.0;99.0;13.2;29.77;16.856;56.6308837225
0.05;99.0;9.0;45.0;55.0;16.2;30.14;7.552;25.0090653661
0.05;99.0;99.0;41.4;58.6;25.0;30.11;7.99;26.567626778
0.3;0.05;0.05;77.8;22.2;28.6;30.05;3.538;11.8043404771
