alpha;gamma;epsilon;no_success;success;steps;deadline_start;deadline_end;percentage
0.05;0.6;0.9;3.4;96.6;10.4;30.36;16.398;54.0078849411
0.05;0.6;0.95;1.0;99.0;11.4;30.22;17.124;56.681628643
0.05;0.6;0.99;1.4;98.6;15.0;29.86;17.158;57.440221529
0.05;0.7;0.9;4.4;95.6;17.6;29.01;15.29;52.6503745426
0.05;0.7;0.95;2.0;98.0;20.2;30.11;16.948;56.2798230972
0.05;0.7;0.99;1.6;98.4;15.2;30.11;17.58;58.3964144993
0.05;0.8;0.9;5.0;95.0;18.0;29.18;15.914;54.546879176
0.05;0.8;0.95;6.4;93.6;15.2;29.68;14.036;47.3067258315
0.05;0.8;0.99;1.6;98.4;13.8;29.53;15.322;51.8812502235
0.05;99.0;0.9;4.8;95.2;19.4;30.35;15.562;51.3157876136
0.05;99.0;0.95;2.4;97.6;21.8;30.34;17.156;56.5496993497
0.05;99.0;0.99;1.8;98.2;15.8;29.84;16.696;55.9697456108
0.1;0.6;0.9;4.0;96.0;12.0;29.53;15.798;53.4886748343
0.1;0.6;0.95;3.8;96.2;11.8;29.44;15.918;54.0546104023
0.1;0.6;0.99;2.0;98.0;10.2;29.94;16.06;53.6985354724
0.1;0.7;0.9;8.6;91.4;10.2;30.01;14.928;49.7117889661
0.1;0.7;0.95;9.8;90.2;22.2;29.63;13.944;47.1041003131
0.1;0.7;0.99;0.6;99.4;12.8;29.74;17.372;58.4239086729
0.1;0.8;0.9;8.6;91.4;23.2;29.55;14.11;47.7153193572
0.1;0.8;0.95;8.8;91.2;14.6;29.6;14.444;48.8401590641
0.1;0.8;0.99;2.8;97.2;19.8;29.61;15.574;52.6047622271
0.1;99.0;0.9;6.6;93.4;10.8;29.88;15.398;51.5937466653
0.1;99.0;0.95;1.8;98.2;18.2;29.55;16.378;55.4410951169
0.1;99.0;0.99;1.4;98.6;10.2;29.46;16.484;55.9345638703
0.2;0.6;0.9;9.2;90.8;10.4;30.24;15.042;49.7340751946
0.2;0.6;0.95;9.6;90.4;14.4;29.7;14.644;49.2713707107
0.2;0.6;0.99;2.8;97.2;16.0;30.23;16.72;55.3085384889
0.2;0.7;0.9;11.0;89.0;17.6;29.53;13.362;45.2651366348
0.2;0.7;0.95;7.6;92.4;19.2;29.58;15.192;51.4070580049
0.2;0.7;0.99;6.2;93.8;13.6;29.67;16.214;54.6372521411
0.2;0.8;0.9;10.2;89.8;12.2;29.4;14.826;50.4436584112
0.2;0.8;0.95;10.4;89.6;18.0;30.2;14.888;49.3185885781
0.2;0.8;0.99;21.4;78.6;25.2;29.99;12.096;40.3141256348
0.2;99.0;0.9;29.6;70.4;12.0;29.69;11.256;37.786097339
0.2;99.0;0.95;3.6;96.4;12.4;28.83;15.95;55.2645526579
0.2;99.0;0.99;1.8;98.2;9.8;29.93;17.196;57.4498245856
99.0;0.6;0.9;10.2;89.8;11.2;29.13;14.358;49.2700048217
99.0;0.6;0.95;5.0;95.0;9.6;29.49;15.704;53.2050287093
99.0;0.6;0.99;5.2;94.8;10.8;30.01;16.12;53.7590476218
99.0;0.7;0.9;12.4;87.6;14.6;29.94;13.514;45.311173461
99.0;0.7;0.95;5.4;94.6;12.0;30.03;15.776;52.5486437355
99.0;0.7;0.99;17.2;82.8;18.0;29.75;14.546;48.6409679874
99.0;0.8;0.9;12.8;87.2;14.4;29.59;14.12;47.7426671835
99.0;0.8;0.95;7.2;92.8;10.4;30.03;15.596;51.9080712246
99.0;0.8;0.99;2.6;97.4;10.6;29.6;16.674;56.3157415273
99.0;99.0;0.9;4.4;95.6;16.0;29.01;15.11;52.0665470981
99.0;99.0;0.95;3.0;97.0;22.2;29.33;16.512;56.3056263363
99.0;99.0;0.99;1.2;98.8;11.0;29.48;17.554;59.5425558683
