alpha;gamma;epsilon;no_success;success;steps;deadline_start;deadline_end;percentage
0.05;0.05;0.05;79.2;20.8;28.4;29.42;3.032;10.268590871
0.05;0.05;0.3;52.6;47.4;20.0;29.26;6.342;21.6919561217
0.05;0.05;0.6;18.0;82.0;16.6;29.37;11.41;38.8697050141
0.05;0.05;0.9;2.4;97.6;14.6;29.53;16.274;55.1159677051
0.05;0.05;1.0;0.8;99.2;14.8;29.98;17.736;59.1677969523
0.05;0.05;9.0;32.2;67.8;18.8;29.81;9.548;31.9983376859
0.05;0.05;99.0;29.0;71.0;24.0;29.03;9.014;31.037193857
0.05;0.3;0.05;77.4;22.6;36.0;29.94;3.616;12.0467241271
0.05;0.3;0.3;48.0;52.0;18.8;30.44;6.61;21.8001553524
0.05;0.3;0.6;17.2;82.8;18.0;29.7;11.582;38.9771419226
0.05;0.3;0.9;3.4;96.6;17.8;29.31;15.83;53.9955484442
0.05;0.3;1.0;0.8;99.2;8.2;29.85;17.986;60.2560725168
0.05;0.3;9.0;31.2;68.8;16.6;30.22;9.486;31.3764202204
0.05;0.3;99.0;29.0;71.0;26.2;29.47;10.18;34.4903710213
0.05;0.6;0.05;76.6;23.4;25.2;28.96;2.844;9.83275013158
0.05;0.6;0.3;56.0;44.0;23.0;30.03;5.58;18.555361777
0.05;0.6;0.6;31.4;68.6;17.0;30.28;9.698;32.0714239738
0.05;0.6;0.9;3.8;96.2;16.8;30.2;16.878;55.8926452475
0.05;0.6;1.0;1.0;99.0;12.0;30.04;17.626;58.6778701194
0.05;0.6;9.0;42.0;58.0;19.2;29.73;8.14;27.34188646
0.05;0.6;99.0;34.0;66.0;23.2;30.36;9.494;31.2781577141
0.05;0.9;0.05;73.0;27.0;28.2;29.62;4.326;14.5861870401
0.05;0.9;0.3;59.4;40.6;28.2;30.32;5.438;17.9470083907
0.05;0.9;0.6;33.6;66.4;20.4;29.4;9.292;31.6190152236
0.05;0.9;0.9;6.4;93.6;17.2;29.69;14.398;48.5080676257
0.05;0.9;1.0;1.4;98.6;12.4;30.15;16.948;56.235176602
0.05;0.9;9.0;36.4;63.6;19.0;29.71;8.824;29.7204668517
0.05;0.9;99.0;40.8;59.2;18.4;30.18;8.95;29.5716704544
0.05;1.0;0.05;79.8;20.2;25.0;29.75;2.9;9.79855735367
0.05;1.0;0.3;60.6;39.4;25.8;29.51;5.254;17.8220054085
0.05;1.0;0.6;29.8;70.2;21.2;30.25;9.818;32.503907
0.05;1.0;0.9;32.0;68.0;18.2;29.36;9.86;33.5607618164
0.05;1.0;1.0;2.6;97.4;13.8;29.78;15.326;51.4288681783
0.05;1.0;9.0;41.6;58.4;18.4;29.77;8.168;27.4567912272
0.05;1.0;99.0;37.2;62.8;26.8;29.55;8.578;29.0368068953
0.05;9.0;0.05;77.2;22.8;37.0;29.72;3.274;11.0151070054
0.05;9.0;0.3;59.4;40.6;20.6;29.75;5.99;20.102430177
0.05;9.0;0.6;30.6;69.4;22.4;29.85;9.968;33.3834813765
0.05;9.0;0.9;3.6;96.4;11.0;29.66;16.32;55.0172965309
0.05;9.0;1.0;0.8;99.2;9.4;29.75;17.106;57.5328101888
