alpha;gamma;epsilon;no_success;success;steps;deadline_start;deadline_end;percentage
0.05;0.05;0.05;84.0;16.0;26.0;29.4;2.79;9.48979591837
0.05;0.05;0.3;53.0;47.0;36.0;29.0;6.87;23.6896551724
0.05;0.05;0.6;40.0;60.0;4.0;30.0;9.35;31.1666666667
0.05;0.05;0.9;33.0;67.0;4.0;30.5;11.71;38.393442623
0.05;0.05;1.0;26.0;74.0;5.0;30.1;11.74;39.0033222591
0.05;0.05;9.0;46.0;54.0;21.0;29.7;6.38;21.4814814815
0.05;0.05;99.0;46.0;54.0;41.0;30.2;7.85;25.9933774834
0.05;0.3;0.05;79.0;21.0;21.0;29.6;2.88;9.72972972973
0.05;0.3;0.3;68.0;32.0;17.0;29.1;4.12;14.1580756014
0.05;0.3;0.6;52.0;48.0;3.0;30.25;6.56;21.6859504132
0.05;0.3;0.9;33.0;67.0;14.0;30.5;10.98;36.0
0.05;0.3;1.0;27.0;73.0;12.0;29.8;11.29;37.8859060403
0.05;0.3;9.0;44.0;56.0;31.0;29.95;7.8;26.0434056761
0.05;0.3;99.0;53.0;47.0;26.0;28.25;7.32;25.9115044248
0.05;0.6;0.05;73.0;27.0;15.0;28.5;3.69;12.9473684211
0.05;0.6;0.3;57.0;43.0;11.0;29.95;5.49;18.3305509182
0.05;0.6;0.6;41.0;59.0;8.0;30.9;9.52;30.8090614887
0.05;0.6;0.9;36.0;64.0;12.0;29.45;8.92;30.2886247878
0.05;0.6;1.0;30.0;70.0;20.0;30.5;10.94;35.868852459
0.05;0.6;9.0;46.0;54.0;31.0;28.65;6.27;21.8848167539
0.05;0.6;99.0;50.0;50.0;31.0;29.3;5.07;17.3037542662
0.05;0.9;0.05;77.0;23.0;21.0;30.55;3.43;11.2274959083
0.05;0.9;0.3;56.0;44.0;18.0;30.85;5.89;19.0923824959
0.05;0.9;0.6;40.0;60.0;37.0;30.7;9.51;30.9771986971
0.05;0.9;0.9;5.0;95.0;15.0;29.15;15.79;54.1680960549
0.05;0.9;1.0;4.0;96.0;18.0;29.3;15.79;53.8907849829
0.05;0.9;9.0;42.0;58.0;31.0;30.15;9.93;32.9353233831
0.05;0.9;99.0;39.0;61.0;19.0;29.85;8.06;27.0016750419
0.05;1.0;0.05;73.0;27.0;31.0;29.45;4.58;15.5517826825
0.05;1.0;0.3;56.0;44.0;26.0;28.5;5.73;20.1052631579
0.05;1.0;0.6;25.0;75.0;27.0;30.95;10.72;34.6365105008
0.05;1.0;0.9;6.0;94.0;17.0;29.3;14.11;48.156996587
0.05;1.0;1.0;13.0;87.0;17.0;29.95;15.12;50.4841402337
0.05;1.0;9.0;31.0;69.0;31.0;28.8;9.56;33.1944444444
0.05;1.0;99.0;35.0;65.0;46.0;29.3;8.8;30.0341296928
0.05;9.0;0.05;72.0;28.0;26.0;30.35;4.77;15.7166392092
0.05;9.0;0.3;56.0;44.0;9.0;30.25;6.32;20.8925619835
0.05;9.0;0.6;42.0;58.0;31.0;30.15;7.95;26.368159204
0.05;9.0;0.9;46.0;54.0;21.0;29.1;7.47;25.6701030928
0.05;9.0;1.0;58.0;42.0;27.0;29.95;6.23;20.8013355593
0.05;9.0;9.0;55.0;45.0;15.0;30.05;6.32;21.0316139767
0.05;9.0;99.0;48.0;52.0;31.0;29.8;7.59;25.4697986577
0.05;99.0;0.05;76.0;24.0;21.0;30.6;4.11;13.431372549
0.05;99.0;0.3;53.0;47.0;41.0;29.2;5.69;19.4863013699
0.05;99.0;0.6;43.0;57.0;18.0;29.85;6.7;22.445561139
0.05;99.0;0.9;41.0;59.0;13.0;28.85;8.02;27.7989601386
0.05;99.0;1.0;38.0;62.0;26.0;29.75;8.14;27.3613445378
0.05;99.0;9.0;40.0;60.0;36.0;29.35;7.01;23.8841567291
0.05;99.0;99.0;50.0;50.0;20.0;28.95;6.71;23.1778929188
0.3;0.05;0.05;74.0;26.0;27.0;30.0;4.61;15.3666666667
0.3;0.05;0.3;63.0;37.0;31.0;27.85;4.35;15.6193895871
0.3;0.05;0.6;23.0;77.0;17.0;29.75;12.05;40.5042016807
0.3;0.05;0.9;7.0;93.0;6.0;29.6;15.16;51.2162162162
0.3;0.05;1.0;8.0;92.0;12.0;28.55;16.28;57.0227670753
0.3;0.05;9.0;38.0;62.0;21.0;28.2;8.56;30.3546099291
0.3;0.05;99.0;41.0;59.0;36.0;28.6;7.94;27.7622377622
0.3;0.3;0.05;75.0;25.0;30.0;30.5;2.49;8.16393442623
0.3;0.3;0.3;64.0;36.0;31.0;29.0;4.84;16.6896551724
0.3;0.3;0.6;33.0;67.0;22.0;30.45;9.44;31.0016420361
0.3;0.3;0.9;6.0;94.0;8.0;29.95;14.76;49.2821368948
