alpha;gamma;epsilon;no_success;success;steps;deadline_start;deadline_end;percentage
0.05;0.05;0.05;77.8;22.2;20.4;29.61;3.436;11.5738199231
0.05;0.05;0.3;56.0;44.0;30.2;30.14;6.294;20.8323035696
0.05;0.05;0.6;27.4;72.6;24.4;30.15;9.962;33.0776810855
0.05;0.05;0.9;8.2;91.8;10.6;30.39;15.658;51.4755747551
0.05;0.05;1.0;6.6;93.4;11.8;29.07;15.29;52.5351977668
0.05;0.05;9.0;40.0;60.0;27.2;29.35;7.76;26.4291451959
0.05;0.05;99.0;31.2;68.8;27.2;30.38;9.426;30.9343000482
0.05;0.05;999.0;33.0;67.0;23.2;30.26;9.62;31.7884461174
0.05;0.3;0.05;74.2;25.8;24.8;30.17;4.012;13.3069995932
0.05;0.3;0.3;53.0;47.0;18.0;29.54;6.052;20.4630428148
0.05;0.3;0.6;25.8;74.2;23.4;29.88;10.918;36.4917740253
0.05;0.3;0.9;12.0;88.0;17.0;29.74;14.592;49.0670510365
0.05;0.3;1.0;7.0;93.0;12.2;29.89;15.57;52.057240139
0.05;0.3;9.0;39.2;60.8;31.8;29.34;8.492;28.9620326459
0.05;0.3;99.0;39.0;61.0;27.4;29.54;8.194;27.7844364694
0.05;0.3;999.0;35.4;64.6;15.8;29.51;9.068;30.6638980329
0.05;0.6;0.05;75.8;24.2;38.0;29.62;3.366;11.366198634
0.05;0.6;0.3;62.8;37.2;22.0;29.45;5.072;17.2576638421
0.05;0.6;0.6;36.0;64.0;17.2;29.06;8.842;30.3689605393
0.05;0.6;0.9;21.6;78.4;17.6;29.49;12.376;41.9436907362
0.05;0.6;1.0;13.8;86.2;19.2;29.61;14.206;47.7989278598
0.05;0.6;9.0;45.6;54.4;26.8;29.7;7.75;26.1181285664
0.05;0.6;99.0;44.8;55.2;19.8;30.07;8.096;26.9486159403
0.05;0.6;999.0;42.4;57.6;22.8;29.44;8.398;28.5838826414
0.05;0.9;0.05;77.8;22.2;26.2;29.4;3.222;10.9753385019
0.05;0.9;0.3;63.2;36.8;25.0;29.44;5.43;18.4943512257
0.05;0.9;0.6;36.0;64.0;17.0;29.45;8.834;30.0105511362
0.05;0.9;0.9;9.4;90.6;23.6;29.61;14.984;50.5601248183
0.05;0.9;1.0;6.2;93.8;17.2;29.71;16.038;53.983760938
0.05;0.9;9.0;46.8;53.2;21.6;29.78;7.074;23.7274482768
0.05;0.9;99.0;44.0;56.0;20.4;30.31;8.328;27.4419846136
0.05;0.9;999.0;41.2;58.8;22.0;29.34;7.798;26.515257627
0.05;1.0;0.05;77.4;22.6;26.8;29.6;3.732;12.5724798761
0.05;1.0;0.3;59.8;40.2;20.2;30.1;5.816;19.2663798067
0.05;1.0;0.6;30.6;69.4;24.2;30.05;9.918;32.9671632206
0.05;1.0;0.9;3.4;96.6;16.0;29.73;16.158;54.3495236176
