alpha;gamma;epsilon;no_success;success;steps;deadline_start;deadline_end;percentage
0.05;0.05;0.05;75.6;24.4;28.4;29.07;3.392;11.6187308306
0.05;0.05;0.3;51.8;48.2;29.2;30.06;6.47;21.5066170742
0.05;0.05;0.6;20.0;80.0;26.6;30.06;11.528;38.2976396515
0.05;0.05;0.9;2.6;97.4;16.2;29.28;16.422;56.0518467327
0.05;0.05;1.0;0.8;99.2;15.8;30.26;16.394;54.1516939907
0.05;0.3;0.05;76.8;23.2;31.0;29.37;3.078;10.4252690614
0.05;0.3;0.3;54.0;46.0;30.2;29.51;5.884;19.9537553502
0.05;0.3;0.6;20.4;79.6;18.2;29.87;11.268;37.7400930512
0.05;0.3;0.9;1.6;98.4;20.4;29.94;16.41;54.8120237821
0.05;0.3;1.0;1.2;98.8;13.8;30.26;17.098;56.5133009304
0.05;0.6;0.05;76.2;23.8;24.2;28.83;3.566;12.3415528207
0.05;0.6;0.3;55.6;44.4;20.4;29.95;6.218;20.7587245087
0.05;0.6;0.6;24.8;75.2;11.8;29.25;10.338;35.3418556096
0.05;0.6;0.9;5.0;95.0;17.6;29.86;15.278;51.1155929991
0.05;0.6;1.0;1.0;99.0;16.0;29.41;16.36;55.6431144626
0.05;0.9;0.05;77.4;22.6;30.2;29.83;3.482;11.7195675485
0.05;0.9;0.3;60.4;39.6;24.6;29.56;5.834;19.717400809
0.05;0.9;0.6;38.2;61.8;20.6;30.28;8.984;29.6922065119
0.05;0.9;0.9;3.8;96.2;12.8;29.44;15.684;53.2648660429
0.05;0.9;1.0;0.8;99.2;10.6;29.82;17.308;58.0230722363
0.05;1.0;0.05;79.4;20.6;24.6;29.74;3.14;10.4984688624
0.05;1.0;0.3;62.2;37.8;32.0;29.53;5.088;17.1462969021
0.05;1.0;0.6;21.6;78.4;27.4;30.01;11.53;38.4003040301
0.05;1.0;0.9;26.4;73.6;24.0;29.63;11.53;38.9306725399
0.05;1.0;1.0;1.0;99.0;10.8;30.22;17.938;59.354552937
0.3;0.05;0.05;76.4;23.6;23.2;29.79;3.36;11.3129711914
0.3;0.05;0.3;52.6;47.4;24.0;29.4;6.54;22.2240896382
0.3;0.05;0.6;21.8;78.2;10.4;29.75;11.002;36.9673466509
0.3;0.05;0.9;1.6;98.4;14.0;30.04;16.638;55.3855178166
0.3;0.05;1.0;1.4;98.6;15.0;29.77;15.38;51.6634708449
0.3;0.3;0.05;74.4;25.6;21.8;29.88;3.864;12.9976776699
0.3;0.3;0.3;50.0;50.0;17.2;29.72;7.016;23.5753753658
0.3;0.3;0.6;21.2;78.8;15.2;29.08;10.75;36.9956181733
0.3;0.3;0.9;2.8;97.2;14.2;29.44;16.114;54.7394811892
0.3;0.3;1.0;0.6;99.4;13.4;29.69;17.644;59.4317631079
0.3;0.6;0.05;76.4;23.6;14.8;29.96;3.462;11.56034585
0.3;0.6;0.3;59.0;41.0;22.0;29.05;5.408;18.5758980049
0.3;0.6;0.6;29.8;70.2;16.2;29.53;10.376;35.1115576512
0.3;0.6;0.9;6.6;93.4;16.2;29.3;15.118;51.6248778109
0.3;0.6;1.0;1.4;98.6;11.4;29.6;17.464;58.9904434619
0.3;0.9;0.05;76.2;23.8;30.0;30.38;3.504;11.5358222451
0.3;0.9;0.3;57.6;42.4;24.6;29.51;5.438;18.3991534976
0.3;0.9;0.6;41.4;58.6;22.6;29.18;7.946;27.2647540196
0.3;0.9;0.9;13.6;86.4;15.2;30.26;14.316;47.3201409893
0.3;0.9;1.0;8.6;91.4;9.8;29.83;15.53;52.0462698139
0.3;1.0;0.05;80.2;19.8;17.4;30.21;2.726;9.03606701455
0.3;1.0;0.3;72.8;27.2;28.0;29.93;3.874;12.946424195
0.3;1.0;0.6;59.0;41.0;22.6;30.08;5.612;18.6788859952
0.3;1.0;0.9;39.8;60.2;31.4;30.43;8.956;29.5184797938
0.3;1.0;1.0;16.2;83.8;14.8;29.18;12.182;41.694289131
0.6;0.05;0.05;78.0;22.0;25.0;29.47;2.85;9.69025075584
0.6;0.05;0.3;53.6;46.4;22.6;30.32;5.832;19.2172611469
0.6;0.05;0.6;22.2;77.8;18.8;29.73;11.384;38.3253557645
0.6;0.05;0.9;4.4;95.6;16.4;29.89;16.252;54.381788397
0.6;0.05;1.0;0.4;99.6;8.2;29.9;17.586;58.8028570687
0.6;0.3;0.05;79.4;20.6;23.0;30.01;2.896;9.64945842353
0.6;0.3;0.3;52.4;47.6;17.4;30.05;6.058;20.1826706347
0.6;0.3;0.6;21.2;78.8;11.2;30.15;11.92;39.4957803574
0.6;0.3;0.9;5.8;94.2;11.2;30.6;15.446;50.5348096361
0.6;0.3;1.0;0.6;99.4;11.8;29.25;17.396;59.4867526485
0.6;0.6;0.05;77.4;22.6;26.6;29.26;3.426;11.7126965835
0.6;0.6;0.3;58.0;42.0;29.6;29.85;5.946;19.8981231986
0.6;0.6;0.6;30.6;69.4;23.6;29.6;10.006;33.7793067887
0.6;0.6;0.9;8.6;91.4;17.8;29.96;15.268;50.9393664523
0.6;0.6;1.0;50.4;49.6;20.8;29.67;6.84;23.0400932886
0.6;0.9;0.05;77.4;22.6;21.2;28.97;3.314;11.4857298155
0.6;0.9;0.3;61.0;39.0;27.8;29.64;5.408;18.2666325927
0.6;0.9;0.6;46.6;53.4;24.6;29.44;7.81;26.4557726835
0.6;0.9;0.9;17.0;83.0;14.6;30.35;13.15;43.3636259982
0.6;0.9;1.0;59.0;41.0;26.0;30.48;6.944;22.8022174289
0.6;1.0;0.05;79.2;20.8;30.6;29.62;2.812;9.48106767613
0.6;1.0;0.3;71.0;29.0;30.2;29.75;4.234;14.2299562639
0.6;1.0;0.6;65.0;35.0;22.8;29.97;5.192;17.3424391614
0.6;1.0;0.9;62.4;37.6;32.8;30.24;5.538;18.2493653207
0.6;1.0;1.0;1.4;98.6;12.0;29.8;16.892;56.6988880756
0.9;0.05;0.05;76.4;23.6;21.4;29.61;3.414;11.5121963603
0.9;0.05;0.3;52.2;47.8;25.4;29.9;6.42;21.4455015042
0.9;0.05;0.6;21.0;79.0;16.8;29.56;11.53;38.9825135095
0.9;0.05;0.9;3.4;96.6;12.4;30.01;15.936;53.0886873025
0.9;0.05;1.0;1.0;99.0;12.2;29.57;16.796;56.8017853385
0.9;0.3;0.05;76.8;23.2;34.0;29.86;3.54;11.8554439163
0.9;0.3;0.3;54.2;45.8;20.4;29.95;6.192;20.6526592546
0.9;0.3;0.6;23.0;77.0;22.2;29.48;10.792;36.5842782136
0.9;0.3;0.9;4.0;96.0;14.0;29.77;16.298;54.7337934339
0.9;0.3;1.0;0.6;99.4;14.2;29.44;17.178;58.3294978124
0.9;0.6;0.05;72.0;28.0;30.8;30.42;4.47;14.6994472383
0.9;0.6;0.3;57.4;42.6;22.6;29.73;6.0;20.1759896627
0.9;0.6;0.6;33.2;66.8;22.0;29.89;9.632;32.2601447266
0.9;0.6;0.9;6.0;94.0;19.0;30.28;15.728;51.8615874183
0.9;0.6;1.0;2.4;97.6;19.6;29.08;14.692;50.5048074816
0.9;0.9;0.05;75.2;24.8;32.0;29.2;3.538;12.1210496169
0.9;0.9;0.3;62.4;37.6;28.0;28.69;4.866;16.9570354228
0.9;0.9;0.6;46.0;54.0;20.8;29.38;7.36;25.0765627422
0.9;0.9;0.9;25.6;74.4;22.8;29.52;11.268;38.2553357817
0.9;0.9;1.0;33.4;66.6;27.4;30.13;10.382;34.4492118805
0.9;1.0;0.05;77.2;22.8;32.0;29.98;3.898;13.0151711154
0.9;1.0;0.3;70.4;29.6;23.4;29.94;4.25;14.1687705494
0.9;1.0;0.6;67.8;32.2;26.8;29.58;4.09;13.8832418439
0.9;1.0;0.9;68.0;32.0;26.4;30.23;4.594;15.1918675806
0.9;1.0;1.0;57.8;42.2;24.8;28.97;7.54;25.9703287369
1.0;0.05;0.05;80.0;20.0;28.0;29.39;3.13;10.6494330922
1.0;0.05;0.3;49.4;50.6;20.6;29.84;6.184;20.6975174585
1.0;0.05;0.6;20.2;79.8;14.2;29.95;11.166;37.3054933789
1.0;0.05;0.9;1.4;98.6;15.4;29.82;16.604;55.6805992077
1.0;0.05;1.0;0.8;99.2;9.0;29.29;17.58;60.0211143209
1.0;0.3;0.05;75.4;24.6;30.0;29.92;3.63;12.1163389583
1.0;0.3;0.3;52.0;48.0;31.8;29.08;6.304;21.4999588263
1.0;0.3;0.6;27.0;73.0;19.6;29.31;10.158;34.6620833917
1.0;0.3;0.9;5.0;95.0;11.8;29.94;15.83;52.8494258792
1.0;0.3;1.0;1.0;99.0;17.0;30.01;17.884;59.5881380683
1.0;0.6;0.05;79.4;20.6;31.6;30.01;2.934;9.77173489053
1.0;0.6;0.3;59.0;41.0;21.4;29.82;5.666;19.006664411
1.0;0.6;0.6;31.6;68.4;14.0;29.75;9.424;31.7061393134
1.0;0.6;0.9;7.4;92.6;17.4;29.6;14.914;50.3730949937
1.0;0.6;1.0;1.6;98.4;18.0;29.51;17.256;58.5083287998
1.0;0.9;0.05;75.4;24.6;30.8;29.89;3.704;12.3408304699
1.0;0.9;0.3;63.8;36.2;27.8;29.05;3.98;13.6978411119
1.0;0.9;0.6;49.2;50.8;18.2;29.71;6.744;22.6300977497
1.0;0.9;0.9;26.8;73.2;11.6;29.8;10.788;36.1841448379
1.0;0.9;1.0;0.6;99.4;14.2;29.71;17.304;58.233468919
1.0;1.0;0.05;80.8;19.2;26.4;29.08;2.724;9.33962778856
1.0;1.0;0.3;76.6;23.4;23.2;29.78;3.044;10.2269574315
1.0;1.0;0.6;67.8;32.2;13.6;30.23;5.126;16.8869460685
1.0;1.0;0.9;72.2;27.8;25.0;29.15;4.136;14.2022171823
1.0;1.0;1.0;3.4;96.6;15.6;30.8;17.8;57.7637299764
