alpha;gamma;epsilon;no_success;success;steps;deadline_start;deadline_end;percentage
0.05;0.05;1;1.0;99.0;13.2;29.1;15.85;54.4880984207
0.05;0.3;1;1.6;98.4;15.4;29.46;16.074;54.5570214287
0.05;0.6;1;1.6;98.4;12.6;30.6;16.978;55.4874471832
0.05;0.9;1;1.6;98.4;19.0;30.07;17.114;56.9123675779
0.05;1.0;1;1.2;98.8;14.2;29.53;17.266;58.4697135799
0.3;0.05;1;0.2;99.8;13.2;29.79;17.016;57.1269875495
0.3;0.3;1;1.2;98.8;13.0;29.23;16.718;57.2104586454
0.3;0.6;1;3.6;96.4;13.6;29.47;15.782;53.5226528697
0.3;0.9;1;8.8;91.2;13.2;29.91;14.294;47.6366371235
0.3;1.0;1;13.2;86.8;16.2;29.68;14.354;48.3794310556
0.6;0.05;1;1.4;98.6;15.0;29.77;17.13;57.5177789522
0.6;0.3;1;0.6;99.4;13.0;29.61;16.418;55.4671165916
0.6;0.6;1;5.6;94.4;12.0;29.36;15.586;53.0785947782
0.6;0.9;1;12.4;87.6;14.8;29.05;13.632;46.8619152243
0.6;1.0;1;46.6;53.4;27.2;30.33;7.88;26.0377034354
0.9;0.05;1;0.8;99.2;11.2;29.08;16.22;55.7800319773
0.9;0.3;1;3.8;96.2;17.0;29.83;16.816;56.3773421811
0.9;0.6;1;3.8;96.2;15.8;28.93;15.6;53.9853331204
0.9;0.9;1;23.2;76.8;25.6;29.82;11.55;38.7898587119
0.9;1.0;1;55.6;44.4;25.6;29.63;6.724;22.5828500984
1.0;0.05;1;1.0;99.0;12.0;29.96;17.382;58.0217972567
1.0;0.3;1;0.8;99.2;12.0;29.16;16.632;57.0097638805
1.0;0.6;1;1.6;98.4;14.2;29.56;16.776;56.7751904239
1.0;0.9;1;28.2;71.8;29.4;29.34;11.056;37.6290468988
1.0;1.0;1;72.6;27.4;28.0;30.57;4.458;14.5647987137
