alpha;gamma;epsilon;no_success;success;steps;deadline_start;deadline_end;percentage
0.05;0.05;1;1.6;98.4;12.4;29.26;16.06;54.8735830116
0.05;0.3;1;1.0;99.0;19.2;29.82;17.158;57.5327902219
0.05;0.6;1;1.6;98.4;12.8;29.19;15.846;54.296543917
0.05;0.9;1;1.6;98.4;12.4;29.57;17.25;58.3290554038
0.05;1.0;1;1.8;98.2;14.6;29.6;16.134;54.5285132749
0.3;0.05;1;1.4;98.6;12.8;29.88;16.36;54.7540137272
0.3;0.3;1;1.4;98.6;15.4;30.1;17.448;57.9955384113
0.3;0.6;1;4.4;95.6;18.4;29.93;16.154;53.9475949558
0.3;0.9;1;8.8;91.2;19.8;29.93;14.74;49.2232964415
0.3;1.0;1;43.0;57.0;27.0;30.16;9.368;31.0426047258
0.6;0.05;1;0.6;99.4;13.0;30.07;17.08;56.7942228784
0.6;0.3;1;2.8;97.2;11.4;30.05;16.896;56.2568703756
0.6;0.6;1;5.4;94.6;24.8;29.54;14.968;50.682289584
0.6;0.9;1;17.2;82.8;25.4;30.36;12.954;42.6270866395
0.6;1.0;1;54.0;46.0;27.2;30.03;6.978;23.1591258848
0.9;0.05;1;1.4;98.6;12.4;30.28;16.862;55.7086621422
0.9;0.3;1;3.2;96.8;9.8;30.49;16.6;54.4140146542
0.9;0.6;1;10.6;89.4;16.2;29.99;15.504;51.6784722967
0.9;0.9;1;24.2;75.8;13.4;30.03;11.65;38.8319464619
0.9;1.0;1;68.4;31.6;27.8;30.49;4.566;14.9971033453
1.0;0.05;1;0.4;99.6;13.4;29.61;17.234;58.199152653
1.0;0.3;1;1.4;98.6;14.8;29.79;16.382;54.9899372616
1.0;0.6;1;4.4;95.6;14.8;30.08;16.066;53.3847774144
1.0;0.9;1;32.8;67.2;18.6;29.42;10.244;34.8192792128
1.0;1.0;1;63.2;36.8;18.6;29.29;5.572;19.0489731735
