alpha;gamma;epsilon;no_success;success;steps;deadline_start;deadline_end;percentage
0.05;0.05;0.05;76.0;24.0;20.2;29.4;3.536;12.0581951875
0.05;0.05;0.3;49.6;50.4;25.0;30.2;7.114;23.5518555424
0.05;0.05;0.6;21.6;78.4;15.2;29.35;10.938;37.3324555759
0.05;0.05;0.9;2.0;98.0;14.0;30.55;16.744;54.8084878664
0.05;0.05;1.0;0.2;99.8;15.4;29.58;17.152;57.9891805766
0.05;0.05;9.0;31.8;68.2;21.4;29.67;9.018;30.3450840387
0.05;0.05;99.0;29.0;71.0;20.4;29.95;10.068;33.5952122136
0.05;0.3;0.05;73.8;26.2;27.8;29.68;3.816;12.7295345867
0.05;0.3;0.3;51.2;48.8;34.8;29.5;6.488;22.0095599586
0.05;0.3;0.6;18.4;81.6;13.4;30.17;12.044;39.8947225723
0.05;0.3;0.9;3.6;96.4;16.4;30.32;16.504;54.4932649864
0.05;0.3;1.0;1.4;98.6;13.0;29.32;15.722;53.6465497858
0.05;0.3;9.0;29.2;70.8;21.8;30.12;9.968;33.1256957208
0.05;0.3;99.0;27.6;72.4;21.6;29.33;9.774;33.2806795588
0.05;0.6;0.05;75.8;24.2;21.2;30.12;3.382;11.1763211121
0.05;0.6;0.3;56.4;43.6;22.0;29.96;5.822;19.4148981186
0.05;0.6;0.6;28.6;71.4;22.2;30.21;10.854;35.9275620522
0.05;0.6;0.9;4.6;95.4;11.8;29.91;16.09;53.8264407779
0.05;0.6;1.0;1.2;98.8;11.0;30.88;17.69;57.2356235408
0.05;0.6;9.0;34.8;65.2;18.0;30.07;9.292;30.933515244
0.05;0.6;99.0;44.4;55.6;23.4;29.76;7.946;26.6924703296
0.05;0.9;0.05;75.8;24.2;20.0;29.9;3.504;11.7037636494
0.05;0.9;0.3;56.6;43.4;30.6;30.06;6.35;21.0737628619
0.05;0.9;0.6;29.0;71.0;24.6;29.84;10.376;34.6508119007
0.05;0.9;0.9;3.4;96.6;19.2;29.21;16.366;56.0196069551
0.05;0.9;1.0;1.4;98.6;18.0;29.47;16.95;57.5037286048
0.05;0.9;9.0;38.6;61.4;15.2;29.87;8.288;27.7593065852
0.05;0.9;99.0;40.8;59.2;19.0;30.94;9.016;29.1243656239
0.05;1.0;0.05;79.0;21.0;33.0;30.07;2.968;9.87459490437
0.05;1.0;0.3;58.2;41.8;32.0;29.97;6.26;20.8881355105
0.05;1.0;0.6;23.2;76.8;30.8;29.89;11.07;36.9470765582
0.05;1.0;0.9;3.0;97.0;16.8;29.43;15.892;53.991199358
0.05;1.0;1.0;0.6;99.4;15.2;29.32;16.31;55.6363339689
0.05;1.0;9.0;38.6;61.4;14.6;29.83;8.358;28.0738178305
