alpha;gamma;epsilon;no_success;success;steps;deadline_start;deadline_end;percentage
0.05;0.05;0.05;72.4;27.6;33.0;30.49;4.144;13.5766967441
0.05;0.05;0.3;54.6;45.4;32.4;29.8;6.034;20.2813090105
0.05;0.05;0.6;18.2;81.8;21.6;29.72;11.766;39.6039704633
0.05;0.05;0.9;1.2;98.8;18.4;29.91;16.758;56.0287299966
0.05;0.05;1.0;1.0;99.0;12.2;29.39;15.61;53.0579518482
0.05;0.05;9.0;31.6;68.4;25.4;29.3;8.85;30.2092351717
0.05;0.05;99.0;32.0;68.0;26.8;29.98;9.152;30.5731473955
0.05;0.3;0.05;74.0;26.0;24.2;29.16;3.33;11.3788665242
0.05;0.3;0.3;52.6;47.4;21.6;30.03;5.928;19.7368354356
0.05;0.3;0.6;19.4;80.6;26.8;29.77;11.166;37.4776396717
0.05;0.3;0.9;2.2;97.8;13.8;30.01;16.342;54.4719584323
0.05;0.3;1.0;1.0;99.0;10.6;29.89;17.89;59.8753374495
0.05;0.3;9.0;31.6;68.4;15.2;30.17;9.248;30.6594745131
0.05;0.3;99.0;30.4;69.6;17.2;30.08;9.58;31.82393755
0.05;0.6;0.05;75.6;24.4;25.4;29.71;4.086;13.7321001524
0.05;0.6;0.3;56.6;43.4;19.4;29.52;5.562;18.8367706558
0.05;0.6;0.6;34.0;66.0;20.4;29.87;9.842;32.9342314368
0.05;0.6;0.9;2.0;98.0;10.6;29.93;16.622;55.5719727557
0.05;0.6;1.0;0.2;99.8;15.6;30.0;17.99;59.9535909536
0.05;0.6;9.0;38.2;61.8;15.6;29.73;8.624;29.0432186561
0.05;0.6;99.0;35.6;64.4;19.8;29.9;9.268;30.9854068219
0.05;0.9;0.05;83.2;16.8;27.0;30.03;2.474;8.24028435839
0.05;0.9;0.3;58.0;42.0;29.8;29.97;5.736;19.099184474
0.05;0.9;0.6;31.2;68.8;19.0;29.81;9.636;32.3080306748
0.05;0.9;0.9;2.6;97.4;12.2;29.44;16.41;55.7031393516
0.05;0.9;1.0;1.2;98.8;14.0;29.7;17.314;58.2840340083
0.05;0.9;9.0;38.4;61.6;22.0;29.73;9.186;30.8589057054
0.05;0.9;99.0;39.6;60.4;22.4;29.35;8.17;27.8209710572
0.05;1.0;0.05;78.8;21.2;28.8;30.42;3.064;10.0083810663
0.05;1.0;0.3;61.2;38.8;27.4;29.94;5.398;17.9964914118
0.05;1.0;0.6;29.4;70.6;15.2;29.23;9.538;32.623885263
0.05;1.0;0.9;4.4;95.6;13.8;29.23;15.726;53.8179706607
0.05;1.0;1.0;1.2;98.8;18.8;29.52;16.814;56.9362597056
0.05;1.0;9.0;45.0;55.0;30.4;30.2;7.768;25.7893918151
0.05;1.0;99.0;38.6;61.4;18.6;30.04;8.11;27.039735519
0.05;9.0;0.05;77.0;23.0;32.0;29.82;3.342;11.1759477258
0.05;9.0;0.3;50.0;50.0;34.8;29.97;6.46;21.567991396
0.05;9.0;0.6;21.2;78.8;15.8;29.95;11.454;38.2401301491
0.05;9.0;0.9;2.0;98.0;7.6;29.56;16.82;56.9033397212
0.05;9.0;1.0;0.8;99.2;10.4;30.21;17.89;59.2273497873
0.05;9.0;9.0;31.4;68.6;19.8;30.27;10.152;33.5875693371
0.05;9.0;99.0;32.8;67.2;25.6;29.17;9.098;31.0921286401
0.05;99.0;0.05;75.8;24.2;32.0;29.55;3.22;10.891416846
0.05;99.0;0.3;51.6;48.4;19.6;29.54;6.422;21.7544052192
0.05;99.0;0.6;20.4;79.6;15.8;29.8;11.458;38.4737366175
0.05;99.0;0.9;2.4;97.6;10.4;29.37;15.86;53.9698170802
0.05;99.0;1.0;0.6;99.4;12.6;29.61;17.126;57.8119790936
0.05;99.0;9.0;27.2;72.8;20.0;29.73;10.21;34.3379068811
0.05;99.0;99.0;31.4;68.6;19.6;29.39;9.0;30.6195706839
0.3;0.05;0.05;78.2;21.8;26.6;29.86;3.352;11.19563676
0.3;0.05;0.3;49.0;51.0;24.8;29.94;7.196;24.0309629193
0.3;0.05;0.6;18.2;81.8;10.4;29.47;11.952;40.5699230871
0.3;0.05;0.9;2.4;97.6;19.2;29.83;16.538;55.4391768753
0.3;0.05;1.0;0.2;99.8;15.6;30.0;17.486;58.2734926771
0.3;0.05;9.0;28.8;71.2;19.2;29.5;9.508;32.2511773785
0.3;0.05;99.0;28.6;71.4;19.6;30.22;9.496;31.4269544431
0.3;0.3;0.05;78.6;21.4;16.2;29.78;3.22;10.8518217793
0.3;0.3;0.3;55.0;45.0;23.6;29.44;5.718;19.4492398653
0.3;0.3;0.6;22.8;77.2;17.8;29.79;11.38;38.2313095665
0.3;0.3;0.9;2.4;97.6;13.4;29.91;15.838;52.9563653389
0.3;0.3;1.0;0.8;99.2;10.6;29.72;15.704;52.8923405181
0.3;0.3;9.0;28.6;71.4;23.4;29.88;9.884;33.0836721683
0.3;0.3;99.0;33.0;67.0;28.4;29.2;8.644;29.5499964321
0.3;0.6;0.05;74.2;25.8;23.6;29.65;4.1;13.8449727548
0.3;0.6;0.3;60.2;39.8;37.2;29.44;5.21;17.7035338229
0.3;0.6;0.6;30.6;69.4;23.2;29.5;8.902;30.1478999363
0.3;0.6;0.9;7.0;93.0;7.0;29.1;14.616;50.2042574442
0.3;0.6;1.0;32.8;67.2;18.4;29.75;11.22;37.7273765803
0.3;0.6;9.0;38.4;61.6;24.0;30.18;9.116;30.2640555898
0.3;0.6;99.0;42.0;58.0;24.2;29.74;8.34;28.0356655678
0.3;0.9;0.05;76.6;23.4;27.0;29.81;3.312;11.1117177138
0.3;0.9;0.3;62.8;37.2;27.2;29.89;4.946;16.5477690237
0.3;0.9;0.6;37.2;62.8;16.4;29.49;8.568;29.0790402776
