alpha;gamma;epsilon;no_success;success;steps;deadline_start;deadline_end;percentage
0.05;0.05;0.05;72.2;27.8;23.6;30.12;4.168;13.7810642061
0.05;0.05;0.3;54.0;46.0;18.0;29.25;5.55;19.0050671579
0.05;0.05;0.6;22.8;77.2;22.2;29.69;10.884;36.6744533379
0.05;0.05;0.9;2.6;97.4;9.2;30.01;16.084;53.592483606
0.05;0.05;1.0;99.4;0.6;32.0;29.68;0.088;0.311554324839
0.05;0.05;9.0;32.4;67.6;12.4;29.43;8.83;30.0642926029
0.05;0.05;99.0;35.8;64.2;27.6;30.33;9.13;30.1397292574
0.05;0.3;0.05;75.6;24.4;28.0;30.1;3.666;12.1507928008
0.05;0.3;0.3;57.8;42.2;23.8;29.94;5.814;19.3211915628
0.05;0.3;0.6;26.6;73.4;14.8;29.3;10.122;34.5503645479
0.05;0.3;0.9;14.4;85.6;17.0;29.19;12.966;44.5804758041
0.05;0.3;1.0;59.8;40.2;12.8;29.46;5.988;20.3203123872
0.05;0.3;9.0;31.0;69.0;18.6;30.33;9.408;30.9893453989
0.05;0.3;99.0;33.6;66.4;27.8;29.97;9.36;31.1895837773
0.05;0.6;0.05;76.8;23.2;22.0;29.87;3.296;11.0295790495
0.05;0.6;0.3;53.8;46.2;25.2;30.23;6.396;21.1701993297
0.05;0.6;0.6;28.4;71.6;12.6;30.28;10.47;34.5822042788
0.05;0.6;0.9;40.6;59.4;24.0;30.15;9.38;31.042160799
0.05;0.6;1.0;12.0;88.0;18.0;29.71;12.74;42.8633434377
0.05;0.6;9.0;39.2;60.8;20.6;29.67;8.334;28.1050670267
0.05;0.6;99.0;45.2;54.8;20.2;29.71;7.816;26.2959847136
0.05;0.9;0.05;75.6;24.4;29.8;29.64;3.306;11.1447495968
0.05;0.9;0.3;60.8;39.2;29.0;30.3;5.338;17.5995075648
0.05;0.9;0.6;50.0;50.0;18.4;29.31;6.984;23.8573141174
0.05;0.9;0.9;65.4;34.6;28.6;30.4;4.906;16.2361518159
0.05;0.9;1.0;100.0;0.0;28.0;29.67;0.0;0.0
0.05;0.9;9.0;41.0;59.0;17.0;30.54;8.668;28.3855236648
0.05;0.9;99.0;55.8;44.2;16.2;29.53;6.142;20.7873900296
0.05;1.0;0.05;77.0;23.0;28.2;29.04;3.67;12.5178564018
0.05;1.0;0.3;56.8;43.2;24.8;30.21;5.946;19.690131545
0.05;1.0;0.6;31.8;68.2;25.0;30.19;9.42;31.2508634437
0.05;1.0;0.9;56.8;43.2;32.0;29.62;6.176;20.8529829703
0.05;1.0;1.0;14.0;86.0;8.0;29.86;12.882;43.1688652343
0.05;1.0;9.0;48.2;51.8;25.2;29.31;7.502;25.6106011101
0.05;1.0;99.0;50.8;49.2;34.2;29.98;7.282;24.2267820065
0.05;9.0;0.05;79.4;20.6;30.0;29.19;2.656;9.08958606819
0.05;9.0;0.3;63.6;36.4;23.4;30.01;5.6;18.6596853199
0.05;9.0;0.6;41.0;59.0;22.0;29.52;8.28;28.0455988229
0.05;9.0;0.9;53.6;46.4;27.6;29.77;7.132;23.8555914488
0.05;9.0;1.0;53.6;46.4;30.2;30.51;7.34;24.1059015433
0.05;9.0;9.0;38.6;61.4;19.2;29.5;8.298;28.1437356647
0.05;9.0;99.0;46.4;53.6;26.2;30.13;7.362;24.3857047253
0.05;99.0;0.05;74.8;25.2;27.6;29.82;3.61;12.1666089897
0.05;99.0;0.3;63.8;36.2;25.4;29.81;5.052;16.9044522256
0.05;99.0;0.6;32.8;67.2;26.6;30.32;9.356;30.8750104686
0.05;99.0;0.9;19.0;81.0;12.4;29.85;12.144;40.7308538343
0.05;99.0;1.0;80.8;19.2;29.0;29.62;2.8;9.506812512
0.05;99.0;9.0;40.8;59.2;24.2;29.25;8.296;28.3961592858
0.05;99.0;99.0;44.8;55.2;24.8;29.99;7.866;26.190676515
0.3;0.05;0.05;76.4;23.6;24.6;29.57;3.5;11.8398150735
0.3;0.05;0.3;50.4;49.6;29.2;30.04;6.752;22.5005957178
0.3;0.05;0.6;17.2;82.8;14.8;30.21;11.884;39.3240849564
0.3;0.05;0.9;4.6;95.4;11.8;29.3;15.716;53.6509522409
0.3;0.05;1.0;1.6;98.4;16.8;30.33;16.3;53.7516672275
0.3;0.05;9.0;32.0;68.0;18.0;29.03;9.39;32.3525113305
0.3;0.05;99.0;34.0;66.0;19.6;29.26;8.53;29.1741657835
0.3;0.3;0.05;76.6;23.4;20.6;29.74;3.298;11.0951700797
0.3;0.3;0.3;49.8;50.2;21.4;29.23;7.16;24.4833697734
0.3;0.3;0.6;21.2;78.8;19.0;30.13;11.752;39.0050213395
0.3;0.3;0.9;4.2;95.8;11.6;29.63;15.254;51.4656091445
0.3;0.3;1.0;57.0;43.0;26.8;30.04;6.32;20.9804994152
0.3;0.3;9.0;32.2;67.8;12.8;29.41;9.054;30.7750008149
0.3;0.3;99.0;33.0;67.0;21.0;29.64;8.788;29.6406021615
0.3;0.6;0.05;77.2;22.8;26.4;29.65;3.288;11.0634798504
0.3;0.6;0.3;58.0;42.0;28.0;29.9;5.526;18.4823423998
0.3;0.6;0.6;34.8;65.2;24.6;29.7;9.46;31.8386766987
0.3;0.6;0.9;11.4;88.6;15.6;30.09;13.802;45.7933381691
0.3;0.6;1.0;17.4;82.6;27.8;29.86;12.156;40.5509078448
0.3;0.6;9.0;41.0;59.0;23.2;30.11;8.31;27.547475271
0.3;0.6;99.0;40.2;59.8;15.2;30.08;8.548;28.3550305328
0.3;0.9;0.05;76.8;23.2;27.6;29.91;3.998;13.3460552975
0.3;0.9;0.3;62.4;37.6;29.4;29.76;5.408;18.131074095
0.3;0.9;0.6;38.4;61.6;19.8;29.74;9.226;30.9657331855
0.3;0.9;0.9;16.2;83.8;13.0;30.36;13.864;45.6478860205
0.3;0.9;1.0;99.4;0.6;29.0;29.78;0.148;0.503148292229
