alpha;gamma;epsilon;no_success;success;steps
1;1;1;16.0;84.0;23.6
alpha;gamma;epsilon;no_success;success;steps
1;1;1;2.8;97.2;15.6
alpha;gamma;epsilon;no_success;success;steps
1;1;1;2.2;97.8;18.2
alpha;gamma;epsilon;no_success;success;steps
1;1;1;8.6;91.4;13.4
alpha;gamma;epsilon;no_success;success;steps
1;1;1;9.6;90.4;17.6
alpha;gamma;epsilon;no_success;success;steps
1;1;1;1.2;98.8;14.8
alpha;gamma;epsilon;no_success;success;steps
1;1;1;77.4;22.6;29.0
alpha;gamma;epsilon;no_success;success;steps
1;1;1;80.4;19.6;30.0
