alpha;gamma;epsilon;no_success;success;steps
0.05;0.05;0.05;77.2;22.8;26.0
0.05;0.05;0.3;52.8;47.2;29.6
0.05;0.05;0.6;21.8;78.2;15.0
0.05;0.05;0.9;1.4;98.6;13.4
0.05;0.05;1.0;0.6;99.4;12.2
0.05;0.3;0.05;75.6;24.4;18.6
0.05;0.3;0.3;48.4;51.6;23.2
0.05;0.3;0.6;22.0;78.0;18.6
0.05;0.3;0.9;2.8;97.2;14.0
0.05;0.3;1.0;0.6;99.4;12.6
0.05;0.6;0.05;76.6;23.4;24.8
0.05;0.6;0.3;56.2;43.8;28.6
0.05;0.6;0.6;24.0;76.0;21.2
0.05;0.6;0.9;3.6;96.4;9.4
0.05;0.6;1.0;0.4;99.6;14.4
0.05;0.9;0.05;77.6;22.4;22.6
0.05;0.9;0.3;63.4;36.6;22.2
0.05;0.9;0.6;27.0;73.0;18.0
0.05;0.9;0.9;4.2;95.8;12.0
0.05;0.9;1.0;0.4;99.6;18.6
0.05;1.0;0.05;77.8;22.2;21.2
0.05;1.0;0.3;59.0;41.0;17.0
0.05;1.0;0.6;31.4;68.6;22.0
0.05;1.0;0.9;3.4;96.6;11.8
0.05;1.0;1.0;0.8;99.2;13.6
0.3;0.05;0.05;77.6;22.4;24.4
0.3;0.05;0.3;52.4;47.6;24.0
0.3;0.05;0.6;19.4;80.6;12.6
0.3;0.05;0.9;1.6;98.4;8.6
0.3;0.05;1.0;0.4;99.6;11.2
0.3;0.3;0.05;76.4;23.6;15.8
0.3;0.3;0.3;48.8;51.2;29.0
0.3;0.3;0.6;22.4;77.6;24.2
0.3;0.3;0.9;2.2;97.8;13.8
0.3;0.3;1.0;0.6;99.4;16.0
0.3;0.6;0.05;75.0;25.0;25.2
0.3;0.6;0.3;56.0;44.0;16.6
0.3;0.6;0.6;29.0;71.0;26.6
0.3;0.6;0.9;8.2;91.8;18.6
0.3;0.6;1.0;3.4;96.6;21.8
0.3;0.9;0.05;77.4;22.6;29.2
0.3;0.9;0.3;61.0;39.0;24.2
0.3;0.9;0.6;35.8;64.2;27.0
0.3;0.9;0.9;13.6;86.4;21.2
0.3;0.9;1.0;1.0;99.0;13.0
0.3;1.0;0.05;78.6;21.4;26.2
0.3;1.0;0.3;72.0;28.0;26.4
0.3;1.0;0.6;60.6;39.4;30.6
0.3;1.0;0.9;37.0;63.0;25.6
0.3;1.0;1.0;7.6;92.4;17.6
0.6;0.05;0.05;77.2;22.8;20.2
0.6;0.05;0.3;47.2;52.8;23.4
0.6;0.05;0.6;15.6;84.4;20.4
0.6;0.05;0.9;2.4;97.6;10.6
0.6;0.05;1.0;0.8;99.2;12.6
0.6;0.3;0.05;74.4;25.6;23.0
0.6;0.3;0.3;54.4;45.6;18.2
0.6;0.3;0.6;25.0;75.0;26.4
0.6;0.3;0.9;4.8;95.2;12.0
0.6;0.3;1.0;0.4;99.6;15.2
0.6;0.6;0.05;71.6;28.4;28.4
0.6;0.6;0.3;56.0;44.0;28.4
0.6;0.6;0.6;33.4;66.6;16.4
0.6;0.6;0.9;7.8;92.2;16.8
0.6;0.6;1.0;1.2;98.8;12.4
0.6;0.9;0.05;78.4;21.6;27.0
0.6;0.9;0.3;64.2;35.8;24.6
0.6;0.9;0.6;41.6;58.4;17.8
0.6;0.9;0.9;21.2;78.8;22.2
0.6;0.9;1.0;30.0;70.0;14.8
