alpha;gamma;epsilon;no_success;success;steps
0.05;0.05;1;0.2;99.8;18.0
0.05;0.3;1;1.6;98.4;14.2
0.05;0.6;1;2.0;98.0;12.2
0.05;0.9;1;2.6;97.4;12.4
0.05;1.0;1;0.4;99.6;13.8
0.3;0.05;1;1.2;98.8;12.0
0.3;0.3;1;0.4;99.6;18.6
0.3;0.6;1;3.0;97.0;9.8
0.3;0.9;1;6.2;93.8;19.8
0.3;1.0;1;37.4;62.6;24.2
0.6;0.05;1;0.6;99.4;16.2
0.6;0.3;1;1.2;98.8;14.6
0.6;0.6;1;5.6;94.4;15.2
0.6;0.9;1;23.4;76.6;15.0
0.6;1.0;1;62.6;37.4;26.6
0.9;0.05;1;1.0;99.0;12.8
0.9;0.3;1;1.2;98.8;19.6
0.9;0.6;1;2.8;97.2;13.6
0.9;0.9;1;29.6;70.4;20.4
0.9;1.0;1;68.0;32.0;35.0
1.0;0.05;1;1.2;98.8;18.2
1.0;0.3;1;1.8;98.2;8.8
1.0;0.6;1;5.6;94.4;13.6
1.0;0.9;1;22.8;77.2;12.8
1.0;1.0;1;64.4;35.6;26.2
